make,model,eng_size,cylender,co2
ACURA,ILX,2,4,196
ACURA,ILX,2.4,4,221
ACURA,ILX HYBRID,1.5,4,136
ACURA,TSX,2.4,4,212
ACURA,TSX,2.4,4,225
ACURA,TSX,3.5,6,239
AUDI,A4,2,4,202
AUDI,A4 QUATTRO,2,4,230
AUDI,A4 QUATTRO,2,4,214
AUDI,S4,3,6,262
AUDI,S4,3,6,285
BMW,320i,2,4,193
BMW,320i,2,4,200
BMW,320i xDRIVE,2,4,202
BMW,328d xDRIVE,2,4,181
BMW,328i,2,4,193
BMW,328i,2,4,200
BMW,328i xDRIVE,2,4,209
BMW,335i,3,6,221
BMW,335i,3,6,230
BMW,335i xDRIVE,3,6,228
BMW,335i xDRIVE,3,6,237
BMW,428i COUPE,2,4,193
BMW,428i COUPE,2,4,200
BMW,428i xDRIVE COUPE,2,4,209
BMW,435i COUPE,3,6,221
BMW,435i COUPE,3,6,230
BMW,435i xDRIVE COUPE,3,6,228
BMW,435i xDRIVE COUPE,3,6,237
BMW,640i xDRIVE GRAN COUPE,3,6,232
BMW,650i xDRIVE COUPE,4.4,8,281
BMW,650i xDRIVE GRAN COUPE,4.4,8,292
BMW,ACTIVEHYBRID 3,3,6,191
BMW,M6,4.4,8,338
BMW,M6,4.4,8,317
BMW,M6 GRAN COUPE,4.4,8,338
BMW,M6 GRAN COUPE,4.4,8,317
BUICK,VERANO,2,4,228
BUICK,VERANO,2,4,225
BUICK,VERANO,2.4,4,218
CADILLAC,ATS,2,4,221
CADILLAC,ATS,2,4,235
CADILLAC,ATS,2.5,4,207
CADILLAC,ATS,3.6,6,251
CADILLAC,ATS AWD,2,4,232
CADILLAC,ATS AWD,3.6,6,260
CHEVROLET,CAMARO,3.6,6,258
CHEVROLET,CAMARO,3.6,6,269
CHEVROLET,CAMARO 2LS,3.6,6,242
CHEVROLET,CAMARO SS,6.2,8,294
CHEVROLET,CAMARO SS,6.2,8,292
CHEVROLET,CAMARO ZL1,6.2,8,382
CHEVROLET,CAMARO ZL1,6.2,8,340
CHEVROLET,SONIC,1.4,4,184
CHEVROLET,SONIC,1.4,4,173
CHEVROLET,SONIC,1.8,4,191
CHEVROLET,SONIC,1.8,4,182
CHEVROLET,SONIC RS,1.4,4,191
CHEVROLET,SONIC RS,1.4,4,184
CHRYSLER,200 CONVERTIBLE,2.4,4,232
CHRYSLER,200 CONVERTIBLE,2.4,4,246
CHRYSLER,200 CONVERTIBLE FFV,3.6,6,242
CHRYSLER,200 CONVERTIBLE FFV,3.6,6,230
FORD,FIESTA ST,1.6,4,184
FORD,FOCUS,2,4,205
FORD,FOCUS FFV,2,4,177
FORD,FOCUS FFV,2,4,165
FORD,FOCUS FFV,2,4,179
FORD,FOCUS FFV,2,4,165
FORD,FOCUS FFV,2,4,184
FORD,FOCUS FFV,2,4,170
FORD,FOCUS SFE FFV,2,4,166
FORD,FOCUS SFE FFV,2,4,162
HONDA,CIVIC,1.8,4,161
HONDA,CIVIC,1.8,4,166
HONDA,CIVIC,1.8,4,175
HYUNDAI,ACCENT,1.6,4,177
HYUNDAI,ACCENT,1.6,4,177
HYUNDAI,VELOSTER,1.6,4,177
HYUNDAI,VELOSTER,1.6,4,184
HYUNDAI,VELOSTER TURBO,1.6,4,202
HYUNDAI,VELOSTER TURBO,1.6,4,196
INFINITI,Q50 HYBRID,3.5,6,172
INFINITI,Q50 HYBRID AWD,3.5,6,189
KIA,FORTE KOUP,1.6,4,216
KIA,FORTE KOUP,1.6,4,221
KIA,FORTE KOUP,2,4,193
KIA,FORTE KOUP,2,4,198
KIA,RIO,1.6,4,175
KIA,RIO,1.6,4,177
KIA,RIO ECO,1.6,4,175
LEXUS,CT 200h,1.8,4,129
LEXUS,IS 250,2.5,6,223
LEXUS,IS 250 AWD,2.5,6,239
LEXUS,IS 350,3.5,6,244
LEXUS,IS 350 AWD,3.5,6,253
MAZDA,MAZDA2,1.5,4,177
MAZDA,MAZDA2,1.5,4,170
MAZDA,MAZDA3 4-DOOR,2,4,159
MAZDA,MAZDA3 4-DOOR,2,4,161
MAZDA,MAZDA3 4-DOOR,2.5,4,170
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,4,168
MAZDA,MAZDA3 4-DOOR (SIL),2,4,161
MERCEDES-BENZ,C 250,1.8,4,216
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,6,242
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,6,224
MERCEDES-BENZ,C 350,3.5,6,242
MERCEDES-BENZ,C 350 4MATIC,3.5,6,239
MERCEDES-BENZ,C 63 AMG,6.2,8,347
MERCEDES-BENZ,CL 550 4MATIC,4.7,8,304
MERCEDES-BENZ,CL 63 AMG,5.5,8,308
MERCEDES-BENZ,CLA 250,2,4,179
MERCEDES-BENZ,CLA 45 AMG 4MATIC,2,4,212
MERCEDES-BENZ,CLS 550 4MATIC,4.7,8,264
MERCEDES-BENZ,CLS 63 AMG 4MATIC,5.5,8,301
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,5.5,8,301
MINI,COOPER COUNTRYMAN,1.6,4,200
MINI,COOPER COUNTRYMAN,1.6,4,179
MINI,COOPER PACEMAN,1.6,4,200
MINI,COOPER PACEMAN,1.6,4,179
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,207
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,196
MINI,COOPER S PACEMAN ALL4,1.6,4,207
MINI,COOPER S PACEMAN ALL4,1.6,4,196
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,207
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,196
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,207
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,196
MITSUBISHI,LANCER,2,4,189
MITSUBISHI,LANCER,2,4,191
MITSUBISHI,LANCER AWD,2.4,4,218
MITSUBISHI,LANCER EVOLUTION,2,4,288
MITSUBISHI,LANCER EVOLUTION,2,4,283
MITSUBISHI,LANCER RALLIART,2,4,267
MITSUBISHI,MIRAGE,1.2,3,138
MITSUBISHI,MIRAGE,1.2,3,147
NISSAN,VERSA,1.6,4,152
NISSAN,VERSA,1.6,4,177
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,393
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,6.7,12,393
SCION,tC,2.5,4,207
SCION,tC,2.5,4,207
SUBARU,IMPREZA AWD,2,4,179
SUBARU,IMPREZA AWD,2,4,196
SUBARU,IMPREZA AWD,2.5,4,258
SUBARU,IMPREZA AWD,2.5,4,288
TOYOTA,PRIUS c,1.5,4,108
TOYOTA,YARIS,1.5,4,168
TOYOTA,YARIS,1.5,4,163
VOLKSWAGEN,BEETLE,1.8,4,196
VOLKSWAGEN,BEETLE,1.8,4,200
VOLKSWAGEN,BEETLE,2,4,209
VOLKSWAGEN,BEETLE,2,4,216
VOLKSWAGEN,BEETLE,2.5,5,225
VOLKSWAGEN,BEETLE,2.5,5,221
VOLKSWAGEN,BEETLE TDI (modified),2,4,200
VOLKSWAGEN,BEETLE TDI (modified),2,4,208
VOLKSWAGEN,CC,2,4,223
VOLKSWAGEN,CC,2,4,225
VOLKSWAGEN,CC 4MOTION,3.6,6,283
VOLKSWAGEN,JETTA,1.8,4,189
VOLKSWAGEN,JETTA,1.8,4,189
VOLKSWAGEN,JETTA,2,4,216
VOLKSWAGEN,JETTA,2,4,207
VOLKSWAGEN,JETTA TDI (modified),2,4,198
VOLKSWAGEN,JETTA TDI (modified),2,4,196
VOLKSWAGEN,JETTA GLI,2,4,207
VOLKSWAGEN,JETTA GLI,2,4,212
VOLKSWAGEN,JETTA TURBO HYBRID,1.4,4,124
VOLVO,S60,2.5,5,223
VOLVO,S60 AWD,2.5,5,232
VOLVO,S60 AWD,3,6,264
ACURA,ILX,2,4,191
ACURA,ILX,2.4,4,214
ACURA,ILX HYBRID,1.5,4,140
ACURA,TLX,2.4,4,191
ACURA,TLX,3.5,6,212
ACURA,TLX SH-AWD,3.5,6,221
AUDI,A4,2,4,205
AUDI,A4 QUATTRO,2,4,221
AUDI,A4 QUATTRO,2,4,209
AUDI,Q3,2,4,237
AUDI,Q3 QUATTRO,2,4,237
AUDI,S4,3,6,253
AUDI,S4,3,6,269
BENTLEY,CONTINENTAL GT,4,8,307
BENTLEY,CONTINENTAL GT,6,12,354
BMW,320i SEDAN,2,4,193
BMW,320i SEDAN,2,4,207
BMW,320i xDRIVE SEDAN,2,4,200
BMW,328d xDRIVE SEDAN,2,4,181
BMW,328i SEDAN,2,4,193
BMW,328i SEDAN,2,4,207
BMW,328i xDRIVE SEDAN,2,4,209
BMW,335i SEDAN,3,6,221
BMW,335i SEDAN,3,6,225
BMW,335i xDRIVE SEDAN,3,6,230
BMW,335i xDRIVE SEDAN,3,6,237
BMW,428i COUPE,2,4,193
BMW,428i COUPE,2,4,207
BMW,428i GRAN COUPE,2,4,205
BMW,428i GRAN COUPE,2,4,207
BMW,428i xDRIVE COUPE,2,4,209
BMW,428i xDRIVE GRAN COUPE,2,4,209
BMW,435i COUPE,3,6,221
BMW,435i COUPE,3,6,225
BMW,435i GRAN COUPE,3,6,221
BMW,435i xDRIVE COUPE,3,6,230
BMW,435i xDRIVE COUPE,3,6,237
BMW,435i xDRIVE GRAN COUPE,3,6,230
BMW,640i xDRIVE GRAN COUPE,3,6,237
BMW,650i xDRIVE COUPE,4.4,8,283
BMW,650i xDRIVE GRAN COUPE,4.4,8,294
BMW,ACTIVEHYBRID 3,3,6,200
BMW,ALPINA B6 xDRIVE GRAN COUPE,4.4,8,294
BMW,M3 SEDAN,3,6,278
BMW,M3 SEDAN,3,6,267
BMW,M4 COUPE,3,6,278
BMW,M4 COUPE,3,6,267
BMW,M6 COUPE,4.4,8,338
BMW,M6 COUPE,4.4,8,315
BMW,M6 GRAN COUPE,4.4,8,338
BMW,M6 GRAN COUPE,4.4,8,315
BUICK,VERANO,2,4,225
BUICK,VERANO,2,4,225
BUICK,VERANO,2.4,4,216
CADILLAC,ATS,2,4,223
CADILLAC,ATS,2,4,237
CADILLAC,ATS,2.5,4,214
CADILLAC,ATS,3.6,6,248
CADILLAC,ATS AWD,2,4,235
CADILLAC,ATS AWD,3.6,6,253
CHEVROLET,CAMARO,3.6,6,260
CHEVROLET,CAMARO,3.6,6,265
CHEVROLET,CAMARO,6.2,8,294
CHEVROLET,CAMARO,6.2,8,292
CHEVROLET,CAMARO 2LS,3.6,6,242
CHEVROLET,CAMARO Z/28,6.2,8,357
CHEVROLET,CAMARO ZL1,6.2,8,386
CHEVROLET,CAMARO ZL1,6.2,8,338
CHEVROLET,SONIC,1.4,4,184
CHEVROLET,SONIC,1.4,4,173
CHEVROLET,SONIC,1.8,4,191
CHEVROLET,SONIC,1.8,4,184
CHEVROLET,SONIC RS,1.4,4,191
CHEVROLET,SONIC RS,1.4,4,184
FORD,FOCUS,1,3,163
FORD,FOCUS,2,4,205
FORD,FOCUS FFV,2,4,177
FORD,FOCUS FFV,2,4,166
FORD,FOCUS FFV,2,4,179
FORD,FOCUS FFV,2,4,170
FORD,FOCUS FFV,2,4,186
FORD,FOCUS FFV,2,4,174
HONDA,CIVIC,1.8,4,163
HONDA,CIVIC,1.8,4,166
HONDA,CIVIC,1.8,4,177
HONDA,CIVIC Si,2.4,4,216
HONDA,CIVIC HYBRID,1.5,4,120
HYUNDAI,ACCENT,1.6,4,177
HYUNDAI,ACCENT,1.6,4,175
HYUNDAI,VELOSTER,1.6,4,177
HYUNDAI,VELOSTER,1.6,4,184
HYUNDAI,VELOSTER TURBO,1.6,4,202
HYUNDAI,VELOSTER TURBO,1.6,4,196
INFINITI,Q50 HYBRID,3.5,6,172
INFINITI,Q50 HYBRID AWD,3.5,6,189
KIA,FORTE KOUP,1.6,4,216
KIA,FORTE KOUP,1.6,4,221
KIA,FORTE KOUP,2,4,198
KIA,FORTE KOUP,2,4,202
KIA,RIO,1.6,4,177
KIA,RIO,1.6,4,177
KIA,RIO ECO,1.6,4,175
LEXUS,CT 200h,1.8,4,131
LEXUS,IS 250,2.5,6,221
LEXUS,IS 250 AWD,2.5,6,239
LEXUS,IS 350,3.5,6,244
LEXUS,IS 350 AWD,3.5,6,253
MAZDA,MAZDA3 4-DOOR,2,4,159
MAZDA,MAZDA3 4-DOOR (SIL),2,4,161
MAZDA,MAZDA3 4-DOOR,2.5,4,170
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,4,166
MAZDA,MAZDA3 4-DOOR (SIL),2.5,4,184
MERCEDES-BENZ,C 300 4MATIC,2,4,207
MERCEDES-BENZ,C 400 4MATIC,3,6,228
MERCEDES-BENZ,CLA 45 AMG,2,4,209
MERCEDES-BENZ,CLS 400 4MATIC,3,6,242
MERCEDES-BENZ,CLS 550 4MATIC,4.7,8,288
MERCEDES-BENZ,CLS 63 AMG 4MATIC,5.5,8,301
MERCEDES-BENZ,S 550 4MATIC COUPE,4.7,8,283
MERCEDES-BENZ,S 63 AMG COUPE,5.5,8,304
MERCEDES-BENZ,S 65 AMG COUPE,6,12,345
MINI,COOPER COUNTRYMAN,1.6,4,200
MINI,COOPER COUNTRYMAN,1.6,4,172
MINI,COOPER PACEMAN,1.6,4,200
MINI,COOPER PACEMAN,1.6,4,172
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,207
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,200
MINI,COOPER S PACEMAN ALL4,1.6,4,207
MINI,COOPER S PACEMAN ALL4,1.6,4,200
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,207
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,200
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,207
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,200
MITSUBISHI,LANCER,2,4,189
MITSUBISHI,LANCER,2,4,193
MITSUBISHI,LANCER AWD,2.4,4,219
MITSUBISHI,LANCER EVOLUTION,2,4,288
MITSUBISHI,LANCER EVOLUTION,2,4,283
MITSUBISHI,LANCER RALLIART,2,4,267
MITSUBISHI,MIRAGE,1.2,3,136
MITSUBISHI,MIRAGE,1.2,3,147
NISSAN,MICRA,1.6,4,179
NISSAN,MICRA,1.6,4,177
NISSAN,VERSA,1.6,4,156
NISSAN,VERSA,1.6,4,177
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,396
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,6.7,12,396
SCION,tC,2.5,4,207
SCION,tC,2.5,4,207
SUBARU,IMPREZA AWD,2,4,175
SUBARU,IMPREZA AWD,2,4,193
SUBARU,WRX,2,4,255
SUBARU,WRX,2,4,225
SUBARU,WRX,2.5,4,281
TOYOTA,PRIUS c,1.5,4,110
TOYOTA,YARIS,1.5,4,168
TOYOTA,YARIS,1.5,4,163
VOLKSWAGEN,BEETLE,1.8,4,196
VOLKSWAGEN,BEETLE,1.8,4,200
VOLKSWAGEN,BEETLE,2,4,209
VOLKSWAGEN,BEETLE,2,4,212
VOLKSWAGEN,BEETLE TDI (modified),2,4,183
VOLKSWAGEN,BEETLE TDI (modified),2,4,184
VOLKSWAGEN,CC,2,4,214
VOLKSWAGEN,CC,2,4,221
VOLKSWAGEN,CC 4MOTION,3.6,6,271
VOLKSWAGEN,GOLF,1.8,4,186
VOLKSWAGEN,GOLF,1.8,4,184
VOLKSWAGEN,GOLF TDI (modified),2,4,177
VOLKSWAGEN,GOLF TDI (modified),2,4,178
VOLKSWAGEN,GOLF GTI,2,4,196
VOLKSWAGEN,GOLF GTI,2,4,191
VOLKSWAGEN,JETTA,1.8,4,182
VOLKSWAGEN,JETTA,1.8,4,184
VOLKSWAGEN,JETTA,2,4,205
VOLKSWAGEN,JETTA,2,4,193
VOLKSWAGEN,JETTA TDI (modified),2,4,175
VOLKSWAGEN,JETTA TDI (modified),2,4,176
VOLKSWAGEN,JETTA GLI,2,4,202
VOLKSWAGEN,JETTA GLI,2,4,205
VOLKSWAGEN,JETTA HYBRID,1.4,4,122
VOLVO,S60 POLESTAR AWD,3,6,253
VOLVO,S60 T5 ,2,4,193
VOLVO,S60 T5 AWD,2.5,5,232
VOLVO,S60 T6   ,2,4,205
VOLVO,S60 T6 AWD,3,6,258
ACURA,ILX,2.4,4,189
ACURA,TLX,2.4,4,196
ACURA,TLX SH-AWD,3.5,6,226
AUDI,A4,2,4,212
AUDI,A4 QUATTRO,2,4,224
AUDI,A4 QUATTRO,2,4,214
AUDI,Q3,2,4,242
AUDI,Q3 QUATTRO,2,4,240
AUDI,S4 QUATTRO,3,6,257
AUDI,S4 QUATTRO,3,6,273
BENTLEY,CONTINENTAL GT,4,8,307
BENTLEY,CONTINENTAL GT,6,12,360
BMW,320i,2,4,197
BMW,320i,2,4,211
BMW,320i xDRIVE,2,4,207
BMW,328d xDRIVE,2,4,183
BMW,328i xDRIVE,2,4,209
BMW,340i,3,6,217
BMW,340i,3,6,231
BMW,340i xDRIVE,3,6,216
BMW,340i xDRIVE,3,6,241
BMW,428i COUPE,2,4,197
BMW,428i COUPE,2,4,211
BMW,428i GRAN COUPE,2,4,211
BMW,428i GRAN COUPE,2,4,210
BMW,428i xDRIVE COUPE,2,4,209
BMW,428i xDRIVE GRAN COUPE,2,4,209
BMW,435i COUPE,3,6,232
BMW,435i COUPE,3,6,246
BMW,435i xDRIVE COUPE,3,6,238
BMW,435i xDRIVE COUPE,3,6,247
BMW,435i xDRIVE GRAN COUPE,3,6,238
BMW,640i xDRIVE GRAN COUPE,3,6,238
BMW,650i xDRIVE COUPE,4.4,8,288
BMW,650i xDRIVE GRAN COUPE,4.4,8,283
BMW,ALPINA B6 xDRIVE GRAN COUPE,4.4,8,283
BMW,M3,3,6,284
BMW,M3,3,6,271
BMW,M4 COUPE,3,6,284
BMW,M4 COUPE,3,6,271
BMW,M6,4.4,8,344
BMW,M6,4.4,8,321
BMW,M6 GRAN COUPE,4.4,8,344
BMW,M6 GRAN COUPE,4.4,8,321
BUICK,VERANO,2,4,231
BUICK,VERANO,2,4,230
BUICK,VERANO,2.4,4,224
CADILLAC,ATS,2,4,215
CADILLAC,ATS,2,4,240
CADILLAC,ATS,2.5,4,214
CADILLAC,ATS,3.6,6,233
CADILLAC,ATS AWD,2,4,221
CADILLAC,ATS AWD,3.6,6,247
CADILLAC,ATS-V,3.6,6,293
CADILLAC,ATS-V,3.6,6,289
CHEVROLET,CAMARO,2,4,218
CHEVROLET,CAMARO,2,4,229
CHEVROLET,CAMARO,3.6,6,248
CHEVROLET,CAMARO,3.6,6,261
CHEVROLET,CAMARO SS,6.2,8,272
CHEVROLET,CAMARO SS,6.2,8,284
CHEVROLET,CRUZE,1.4,4,159
CHEVROLET,CRUZE,1.4,4,167
CHEVROLET,CRUZE PREMIER,1.4,4,160
CHEVROLET,SONIC,1.4,4,188
CHEVROLET,SONIC,1.4,4,175
CHEVROLET,SONIC,1.8,4,195
CHEVROLET,SONIC,1.8,4,187
CHEVROLET,SONIC RS,1.4,4,195
CHEVROLET,SONIC RS,1.4,4,189
FORD,FIESTA ST,1.6,4,191
FORD,FOCUS,1,3,171
FORD,FOCUS,1,3,160
FORD,FOCUS FFV,2,4,178
FORD,FOCUS FFV,2,4,170
FORD,FOCUS FFV,2,4,183
FORD,FOCUS FFV,2,4,175
FORD,FOCUS FFV,2,4,188
FORD,FOCUS FFV,2,4,179
HONDA,CIVIC COUPE,1.5,4,155
HONDA,CIVIC COUPE,2,4,162
HONDA,CIVIC COUPE,2,4,179
HYUNDAI,ACCENT,1.6,4,179
HYUNDAI,ACCENT,1.6,4,176
HYUNDAI,VELOSTER,1.6,4,177
HYUNDAI,VELOSTER,1.6,4,186
HYUNDAI,VELOSTER TURBO,1.6,4,191
HYUNDAI,VELOSTER TURBO,1.6,4,197
INFINITI,Q50 HYBRID,3.5,6,181
INFINITI,Q50 HYBRID AWD,3.5,6,193
KIA,FORTE KOUP,1.6,4,218
KIA,FORTE KOUP,1.6,4,222
KIA,FORTE KOUP,2,4,200
KIA,FORTE KOUP,2,4,206
KIA,RIO,1.6,4,178
KIA,RIO,1.6,4,179
KIA,RIO ECO,1.6,4,175
LEXUS,CT 200h,1.8,4,132
LEXUS,GS F,5,8,293
LEXUS,IS 200t,2,4,212
LEXUS,IS 300 AWD,3.5,6,258
LEXUS,IS 350,3.5,6,246
LEXUS,IS 350 AWD,3.5,6,258
MAZDA,CX-3,2,4,179
MAZDA,CX-3 4WD,2,4,189
MAZDA,MAZDA3 4-DOOR,2,4,162
MAZDA,MAZDA3 4-DOOR (SIL),2,4,165
MAZDA,MAZDA3 4-DOOR,2.5,4,173
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,4,169
MAZDA,MAZDA3 4-DOOR (SIL),2.5,4,189
MERCEDES-BENZ,AMG C 63,4,8,268
MERCEDES-BENZ,AMG C 63 S,4,8,268
MERCEDES-BENZ,AMG CLA 45,2,4,214
MERCEDES-BENZ,AMG CLS 63 S 4MATIC,5.5,8,308
MERCEDES-BENZ,AMG S 63 COUPE,5.5,8,313
MERCEDES-BENZ,AMG S 65 COUPE,6,12,355
MERCEDES-BENZ,C 300 4MATIC,2,4,212
MERCEDES-BENZ,C 450 AMG SPORT 4MATIC,3,6,231
MERCEDES-BENZ,CLA 250,2,4,188
MERCEDES-BENZ,CLA 250 4MATIC FFV,2,4,198
MERCEDES-BENZ,CLA 250 4MATIC FFV,2,4,198
MERCEDES-BENZ,CLS 400 4MATIC,3,6,252
MERCEDES-BENZ,CLS 550 4MATIC,4.7,8,277
MERCEDES-BENZ,S 550 4MATIC COUPE,4.7,8,289
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,212
MINI,COOPER S COUNTRYMAN ALL4,1.6,4,201
MINI,COOPER S PACEMAN ALL4,1.6,4,212
MINI,COOPER S PACEMAN ALL4,1.6,4,201
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,212
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,4,201
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,212
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,4,201
MITSUBISHI,LANCER,2,4,181
MITSUBISHI,LANCER,2,4,198
MITSUBISHI,LANCER,2.4,4,204
MITSUBISHI,LANCER,2.4,4,217
MITSUBISHI,LANCER 4WD,2.4,4,210
MITSUBISHI,MIRAGE,1.2,3,139
MITSUBISHI,MIRAGE,1.2,3,147
NISSAN,MICRA,1.6,4,184
NISSAN,MICRA,1.6,4,182
ROLLS-ROYCE,PHANTOM COUPE,6.7,12,403
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,6.7,12,404
SCION,tC,2.5,4,211
SCION,tC,2.5,4,210
SUBARU,IMPREZA AWD,2,4,177
SUBARU,IMPREZA AWD,2,4,197
SUBARU,WRX,2,4,254
SUBARU,WRX,2,4,233
SUBARU,WRX,2.5,4,285
